"subjID" "Trial" "level1_choice" "level2_choice" "reward" "transition" "Stay" "PrReward" "PrTransition" "RT1" "RT2"
"111" 110 1 1 1 1 1 1 1 218 593
"111" 111 1 1 1 1 1 1 1 305 234
"111" 112 1 1 1 1 1 1 1 255 234
"111" 113 1 4 0 -1 1 1 1 255 289
"111" 114 1 2 1 1 1 0 -1 238 230
"111" 115 1 1 0 1 1 1 1 246 172
"111" 116 1 1 1 1 1 0 1 246 230
"111" 117 1 1 1 1 1 1 1 239 266
"111" 118 1 1 0 1 1 1 1 248 233
"111" 119 1 4 0 -1 1 0 1 239 230
"111" 120 1 2 0 1 1 0 -1 310 328
"111" 121 1 3 0 -1 1 0 1 242 274
"111" 122 1 1 1 1 1 0 -1 303 202
"111" 123 1 1 1 1 1 1 1 302 130
"111" 124 1 1 1 1 1 1 1 262 245
"111" 125 1 1 1 1 1 1 1 239 224
"111" 126 1 1 1 1 1 1 1 219 416
"111" 127 1 2 0 1 1 1 1 228 236
"111" 128 1 3 1 -1 1 0 1 256 239
"111" 129 1 1 1 1 1 1 -1 461 225
"111" 130 1 3 0 -1 1 1 1 241 0
"111" 131 1 1 1 1 1 0 -1 233 250
"111" 132 1 1 0 1 1 1 1 279 251
"111" 133 1 3 1 -1 1 0 1 259 258
"111" 134 1 1 0 1 1 1 -1 286 267
"111" 135 2 1 1 -1 0 0 1 741 753
"111" 136 2 4 0 1 1 1 -1 295 379
"111" 137 2 2 1 -1 1 0 1 282 221
"111" 138 2 2 0 -1 1 1 -1 245 254
"111" 139 1 1 1 1 0 0 -1 279 224
"111" 140 1 1 1 1 1 1 1 238 305
"111" 141 1 1 1 1 1 1 1 399 204
"111" 142 1 1 1 1 1 1 1 22 1262
"111" 143 1 1 1 1 1 1 1 854 706
"111" 144 1 1 0 1 1 1 1 409 253
"111" 145 1 4 1 -1 1 0 1 438 233
"111" 146 1 1 0 1 1 1 -1 115 225
"111" 147 1 1 1 1 1 0 1 216 225
"111" 148 1 1 1 1 1 1 1 242 204
"111" 149 1 1 1 1 1 1 1 216 217
"111" 150 1 1 0 1 1 1 1 297 333
"111" 151 1 4 0 -1 1 0 1 408 622
"111" 152 1 1 1 1 1 0 -1 270 237
"111" 153 1 1 1 1 1 1 1 365 442
"111" 154 1 1 0 1 1 1 1 377 301
"111" 155 1 1 1 1 1 0 1 614 444
"111" 156 1 3 1 -1 1 1 1 257 214
