"subjID"	"Trial"	"Stage1"	"Stage2"	"Stay"	"RT"	"PrSSReward"	"transition"	"PrReward"	"PrTransition"
111	3	-1	1	1	466	1	1	1	1
111	4	1	-1	1	924	-1	1	-1	1
111	4	-1	1	1	702	-1	1	-1	1
111	5	1	-1	0	566	NA	1	-1	1
111	5	-1	1	0	1231	NA	1	-1	1
111	6	1	-1	1	247	1	1	1	1
111	6	-1	1	1	557	1	1	1	1
111	7	1	-1	1	317	-1	1	-1	1
111	7	-1	1	0	792	-1	1	-1	1
111	8	1	-1	0	337	1	-1	1	1
111	8	-1	1	1	958	1	-1	1	1
111	9	1	-1	1	281	1	-1	1	-1
111	9	-1	1	1	526	1	-1	1	-1
111	10	1	-1	1	238	-1	1	-1	-1
111	10	-1	1	0	834	-1	1	-1	-1
111	11	1	-1	0	275	-1	-1	-1	1
111	11	-1	1	1	319	-1	-1	-1	1
111	12	1	-1	1	235	-1	-1	-1	-1
111	12	-1	1	1	321	-1	-1	-1	-1
111	13	1	-1	1	362	-1	1	-1	-1
111	13	-1	1	1	255	-1	1	-1	-1
111	14	1	-1	1	369	-1	-1	-1	1
111	14	-1	1	1	297	-1	-1	-1	1
111	15	1	-1	1	233	-1	1	1	-1
111	15	-1	1	0	239	-1	1	1	-1
111	16	1	-1	1	278	1	1	1	1
111	16	-1	1	1	501	1	1	1	1
111	17	1	-1	1	245	-1	1	-1	1
111	17	-1	1	1	261	-1	1	-1	1
111	18	1	-1	1	224	1	1	1	1
111	18	-1	1	1	261	1	1	1	1
111	19	1	-1	1	262	1	1	1	1
111	19	-1	1	1	230	1	1	1	1
111	20	1	-1	1	573	1	1	1	1
111	20	-1	1	0	382	1	1	1	1
111	21	1	-1	1	353	1	-1	1	1
111	21	-1	1	0	367	1	-1	1	1
111	22	1	-1	0	268	1	-1	1	-1
111	22	-1	1	1	377	1	-1	1	-1
111	23	1	-1	1	260	-1	-1	-1	-1
111	23	-1	1	0	497	-1	-1	-1	-1
111	24	1	-1	1	262	1	1	1	-1
111	24	-1	1	1	916	1	1	1	-1
111	25	1	-1	1	424	1	-1	1	1
111	25	-1	1	1	928	1	-1	1	1
111	26	1	-1	1	322	1	1	-1	-1
111	26	-1	1	1	1295	1	1	-1	-1
111	29	1	-1	1	274	-1	-1	-1	1
111	29	-1	1	1	631	-1	-1	-1	1
111	30	1	-1	1	268	-1	-1	-1	-1
111	30	-1	1	0	542	-1	-1	-1	-1
111	31	1	-1	0	264	-1	1	-1	-1
111	31	-1	1	0	362	-1	1	-1	-1
111	32	1	-1	1	252	1	-1	1	1
111	32	-1	1	1	1103	1	-1	1	1
111	33	1	-1	0	365	-1	1	-1	-1
111	33	-1	1	1	373	-1	1	-1	-1
111	34	1	-1	0	260	-1	-1	-1	1
111	34	-1	1	0	330	-1	-1	-1	1
111	35	1	-1	1	258	1	1	1	-1
111	35	-1	1	1	256	1	1	1	-1
111	36	1	-1	1	282	-1	1	-1	1
111	36	-1	1	1	279	-1	1	-1	1
111	37	1	-1	1	240	1	1	1	1
111	37	-1	1	1	315	1	1	1	1
111	38	1	-1	0	378	-1	-1	-1	1
111	38	-1	1	1	300	-1	-1	-1	1
111	39	1	-1	1	240	-1	-1	-1	-1
111	39	-1	1	1	284	-1	-1	-1	-1
111	40	1	-1	1	216	1	1	-1	-1
111	40	-1	1	0	239	1	1	-1	-1
111	41	1	-1	1	266	1	1	1	1
111	41	-1	1	1	230	1	1	1	1
111	42	1	-1	1	256	-1	-1	1	1
111	42	-1	1	0	235	-1	-1	1	1
111	43	1	-1	1	268	1	1	-1	-1
111	43	-1	1	1	443	1	1	-1	-1
111	44	1	-1	1	240	1	1	1	1
111	44	-1	1	1	457	1	1	1	1
111	45	1	-1	1	248	-1	-1	-1	1
111	45	-1	1	0	527	-1	-1	-1	1
111	46	1	-1	1	282	1	-1	1	-1
111	46	-1	1	0	395	1	-1	1	-1
111	47	1	-1	1	251	-1	1	1	-1
111	47	-1	1	1	370	-1	1	1	-1
111	48	1	-1	1	263	1	1	1	1
111	48	-1	1	1	780	1	1	1	1
111	49	1	-1	1	381	1	1	1	1
111	49	-1	1	1	638	1	1	1	1
111	50	1	-1	1	255	1	-1	1	1
111	50	-1	1	0	586	1	-1	1	1
111	51	1	-1	1	266	1	1	1	-1
111	51	-1	1	1	506	1	1	1	-1
111	52	1	-1	1	263	-1	1	-1	1
111	52	-1	1	1	608	-1	1	-1	1
111	53	1	-1	1	267	1	-1	1	1
111	53	-1	1	1	577	1	-1	1	1
111	54	1	-1	1	515	1	1	-1	-1
111	54	-1	1	1	379	1	1	-1	-1
111	55	1	-1	1	343	1	1	1	1
111	55	-1	1	1	336	1	1	1	1
111	56	1	-1	1	241	1	1	1	1
111	56	-1	1	1	364	1	1	1	1
111	57	1	-1	1	252	1	1	1	1
111	57	-1	1	1	363	1	1	1	1
111	58	1	-1	1	248	-1	-1	1	1
111	58	-1	1	1	757	-1	-1	1	1
111	59	1	-1	1	253	-1	-1	-1	-1
111	59	-1	1	0	856	-1	-1	-1	-1
111	60	1	-1	1	437	1	1	-1	-1
111	60	-1	1	1	344	1	1	-1	-1
111	61	1	-1	1	239	-1	-1	1	1
111	61	-1	1	1	362	-1	-1	1	1
111	62	1	-1	1	281	1	1	1	-1
111	62	-1	1	1	339	1	1	1	-1
111	63	1	-1	0	234	1	1	-1	1
111	63	-1	1	0	386	1	1	-1	1
111	64	1	-1	1	260	1	1	1	1
111	64	-1	1	1	315	1	1	1	1
111	65	1	-1	1	335	1	1	1	1
111	65	-1	1	1	522	1	1	1	1
111	66	1	-1	1	260	-1	1	-1	1
111	66	-1	1	1	362	-1	1	-1	1
111	67	1	-1	1	258	-1	1	-1	1
111	67	-1	1	1	537	-1	1	-1	1
111	68	1	-1	0	578	-1	1	-1	1
111	68	-1	1	1	347	-1	1	-1	1
111	69	1	-1	1	262	1	1	1	1
111	69	-1	1	1	264	1	1	1	1
111	70	1	-1	1	428	-1	1	-1	1
111	70	-1	1	1	529	-1	1	-1	1
111	71	1	-1	1	267	1	1	1	1
111	71	-1	1	1	273	1	1	1	1
111	72	1	-1	1	368	1	1	1	1
111	72	-1	1	0	316	1	1	1	1
111	73	1	-1	1	275	-1	1	-1	1
111	73	-1	1	0	280	-1	1	-1	1
111	74	1	-1	1	231	-1	1	-1	1
111	74	-1	1	1	198	-1	1	-1	1
111	75	1	-1	1	251	-1	1	-1	1
111	75	-1	1	0	262	-1	1	-1	1
111	76	1	-1	1	322	-1	1	-1	1
111	76	-1	1	1	703	-1	1	-1	1
111	77	1	-1	0	235	-1	1	-1	1
111	77	-1	1	1	227	-1	1	-1	1
111	78	1	-1	0	230	-1	-1	-1	1
111	78	-1	1	0	224	-1	-1	-1	1
111	79	1	-1	1	1	-1	1	-1	-1
111	79	-1	1	0	312	-1	1	-1	-1
111	80	1	-1	1	514	1	1	1	1
111	80	-1	1	1	380	1	1	1	1
111	81	1	-1	1	250	1	1	1	1
111	81	-1	1	1	241	1	1	1	1
111	82	1	-1	1	248	-1	1	-1	1
111	82	-1	1	1	229	-1	1	-1	1
111	83	1	-1	1	292	1	1	1	1
111	83	-1	1	1	745	1	1	1	1
111	84	1	-1	1	259	-1	-1	1	1
111	84	-1	1	1	220	-1	-1	1	1
111	85	1	-1	1	317	1	1	-1	-1
111	85	-1	1	1	430	1	1	-1	-1
111	86	1	-1	1	237	1	1	1	1
111	86	-1	1	1	585	1	1	1	1
111	87	1	-1	1	257	-1	-1	1	1
111	87	-1	1	1	247	-1	-1	1	1
111	88	1	-1	1	227	1	1	1	-1
111	88	-1	1	1	266	1	1	1	-1
111	89	1	-1	1	233	1	1	1	1
111	89	-1	1	1	221	1	1	1	1
111	90	1	-1	1	221	1	1	1	1
111	90	-1	1	1	328	1	1	1	1
111	91	1	-1	1	243	1	-1	1	1
111	91	-1	1	1	264	1	-1	1	1
111	92	1	-1	1	251	1	1	1	-1
111	92	-1	1	1	225	1	1	1	-1
111	93	1	-1	1	252	1	1	1	1
111	93	-1	1	1	227	1	1	1	1
111	94	1	-1	1	261	1	1	1	1
111	94	-1	1	1	228	1	1	1	1
111	95	1	-1	1	293	1	-1	-1	1
111	95	-1	1	1	282	1	-1	-1	1
111	96	1	-1	1	829	-1	1	1	-1
111	96	-1	1	1	402	-1	1	1	-1
111	97	1	-1	1	237	-1	1	-1	1
111	97	-1	1	1	224	-1	1	-1	1
111	98	1	-1	1	222	1	-1	-1	1
111	98	-1	1	0	252	1	-1	-1	1
111	99	1	-1	0	465	-1	-1	1	-1
111	99	-1	1	0	249	-1	-1	1	-1
111	100	1	-1	0	292	-1	1	-1	-1
111	100	-1	1	0	247	-1	1	-1	-1
111	101	1	-1	1	302	1	1	1	1
111	101	-1	1	1	243	1	1	1	1
111	102	1	-1	1	5	1	-1	1	1
111	102	-1	1	0	235	1	-1	1	1
111	103	1	-1	1	280	1	1	-1	-1
111	103	-1	1	0	1096	1	1	-1	-1
111	104	1	-1	1	247	-1	-1	1	1
111	104	-1	1	1	219	-1	-1	1	1
111	105	1	-1	1	239	1	-1	1	-1
111	105	-1	1	1	202	1	-1	1	-1
