"NS" "Trial" "Resp" "Reward" "Transition" "PrReward" "PrTransition" "Stay"
"114" 161 2 1 1 -1 1 0
"114" 162 2 1 1 1 1 1
"114" 163 1 1 1 1 1 0
"114" 164 1 1 1 1 1 1
"114" 165 2 1 1 1 1 0
"114" 166 1 -1 1 1 1 0
"114" 167 2 -1 1 -1 1 0
"114" 168 1 -1 1 -1 1 0
"114" 169 1 -1 1 -1 1 1
"114" 170 2 -1 -1 -1 1 0
"114" 171 2 1 1 -1 -1 1
"114" 172 2 1 1 1 1 1
"114" 173 2 1 1 1 1 1
"114" 174 2 -1 1 1 1 1
"114" 175 1 1 -1 -1 1 0
"115" 11 2 1 -1 1 -1 0
"115" 12 1 1 -1 1 -1 0
"115" 13 1 -1 -1 1 -1 1
"115" 14 1 -1 1 -1 -1 1
"115" 15 2 -1 -1 -1 1 0
"115" 16 2 1 1 -1 -1 1
"115" 17 2 1 1 1 1 1
"115" 18 1 1 -1 1 1 0
"115" 19 1 -1 -1 1 -1 1
"115" 20 2 1 1 -1 -1 0
"115" 21 1 -1 1 1 1 0
"115" 22 2 -1 1 -1 1 0
"115" 23 2 -1 1 -1 1 1
"115" 24 2 1 -1 -1 1 1
"115" 25 1 1 1 1 -1 0
"115" 26 2 1 1 1 1 0
"115" 27 2 1 1 1 1 1
"115" 28 1 -1 1 1 1 0
"115" 29 2 1 1 -1 1 0
"115" 30 1 1 -1 1 1 0
"115" 31 2 -1 -1 1 -1 0
"115" 32 1 -1 -1 -1 -1 0
"115" 33 2 -1 -1 -1 -1 0
"115" 34 1 -1 1 -1 -1 0
"115" 35 1 1 1 -1 1 1
"115" 36 2 1 1 1 1 0
"115" 37 1 1 1 1 1 0
"115" 38 2 -1 -1 1 1 0
"115" 39 2 1 1 -1 -1 1
"115" 40 1 1 1 1 1 0
"115" 41 2 1 -1 1 1 0
"115" 42 1 1 -1 1 -1 0
"115" 43 2 -1 -1 1 -1 0
"115" 44 1 1 1 -1 -1 0
"115" 45 1 -1 1 1 1 1
"115" 46 2 1 1 -1 1 0
"115" 47 2 -1 1 1 1 1
"115" 48 2 -1 -1 -1 1 1
"115" 49 2 -1 1 -1 -1 1
"115" 51 2 -1 -1 -1 1 1
"115" 52 2 1 1 -1 -1 1
"115" 53 2 1 1 1 1 1
"115" 54 2 -1 -1 1 1 1
"115" 55 1 -1 1 -1 -1 0
"115" 56 2 1 1 -1 1 0
"115" 57 2 -1 1 1 1 1
"115" 58 2 1 -1 -1 1 1
"115" 59 2 -1 1 1 -1 1
"115" 60 2 1 1 -1 1 1
"115" 61 2 1 1 1 1 1
"115" 62 1 1 -1 1 1 0
"115" 63 2 1 -1 1 -1 0
"115" 64 1 1 -1 1 -1 0
"115" 65 1 1 1 1 -1 1
"115" 66 2 1 1 1 1 0
"115" 67 2 -1 1 1 1 1
"115" 70 2 1 -1 -1 -1 1
"115" 71 1 -1 1 1 -1 0
"115" 72 2 -1 1 -1 1 0
"115" 73 2 1 -1 -1 1 1
"115" 74 2 1 1 1 -1 1
"115" 75 2 -1 1 1 1 1
"115" 76 2 -1 -1 -1 1 1
"115" 77 2 -1 -1 -1 -1 1
"115" 79 2 1 -1 -1 1 0
"115" 80 2 1 1 1 -1 1
"115" 81 2 1 1 1 1 1
"115" 82 1 1 -1 1 1 0
"115" 83 2 1 -1 1 -1 0
"115" 84 1 -1 1 1 -1 0
"115" 85 2 1 -1 -1 1 0
"115" 86 2 1 1 1 -1 1
"115" 87 2 -1 1 1 1 1
"115" 88 2 1 1 -1 1 1
"115" 89 1 1 1 1 1 0
"115" 90 2 1 1 1 1 0
"115" 91 1 -1 1 1 1 0
"115" 92 2 1 1 -1 1 0
"115" 93 2 1 -1 1 1 1
"115" 94 2 1 -1 1 -1 1
"115" 95 1 -1 1 1 -1 0
"115" 96 2 -1 1 -1 1 0
"115" 97 2 1 -1 -1 1 1
"115" 98 1 -1 1 1 -1 0
"115" 99 2 1 1 -1 1 0
"115" 100 1 -1 1 1 1 0
"115" 102 2 1 1 1 1 1
"115" 103 1 1 1 1 1 0
"115" 104 2 -1 1 1 1 0
"115" 105 1 1 1 -1 1 0
"115" 106 2 1 1 1 1 0
"115" 107 2 -1 1 1 1 1
"115" 108 2 -1 1 -1 1 1
"115" 109 2 -1 1 -1 1 1
"115" 110 1 1 1 -1 1 0
"115" 111 2 1 1 1 1 0
"115" 112 1 -1 1 1 1 0
"115" 113 2 -1 1 -1 1 0
"115" 114 2 1 -1 -1 1 1
"115" 115 2 -1 1 1 -1 1
"115" 116 2 1 -1 -1 1 1
"115" 117 1 1 1 1 -1 0
"115" 118 2 -1 1 1 1 0
"115" 119 2 1 -1 -1 1 1
"115" 120 2 1 1 1 -1 1
"115" 121 2 -1 1 1 1 1
"115" 122 2 1 1 -1 1 1
"115" 123 2 -1 1 1 1 1
"115" 124 2 -1 -1 -1 1 1
"115" 125 2 1 1 -1 -1 1
"115" 126 2 1 -1 1 1 1
"115" 127 2 1 1 1 -1 1
"115" 128 1 1 1 1 1 0
"115" 129 2 1 1 1 1 0
"115" 130 1 -1 1 1 1 0
"115" 131 2 1 -1 -1 1 0
"115" 132 2 1 1 1 -1 1
"115" 133 1 -1 1 1 1 0
"115" 134 2 1 1 -1 1 0
"115" 135 2 1 -1 1 1 1
"115" 136 1 1 1 1 -1 0
"115" 137 2 1 1 1 1 0
"115" 138 1 1 1 1 1 0
"115" 139 2 -1 -1 1 1 0
"115" 140 2 1 1 -1 -1 1
"115" 141 1 1 1 1 1 0
"115" 142 2 1 1 1 1 0
"115" 143 1 1 -1 1 1 0
"115" 144 2 -1 1 1 -1 0
"115" 145 1 -1 1 -1 1 0
"115" 146 2 1 1 -1 1 0
"115" 147 1 -1 1 1 1 0
"115" 148 2 -1 1 -1 1 0
"115" 149 2 1 1 -1 1 1
"115" 150 1 -1 1 1 1 0
"115" 151 2 -1 -1 -1 1 0
"115" 152 2 1 1 -1 -1 1
"115" 153 1 -1 1 1 1 0
"115" 154 2 -1 1 -1 1 0
"115" 155 2 -1 1 -1 1 1
"115" 156 2 -1 -1 -1 1 1
"115" 157 2 1 1 -1 -1 1
"115" 158 1 1 1 1 1 0
"115" 159 2 -1 1 1 1 0
"115" 160 1 -1 1 -1 1 0
"115" 161 2 1 1 -1 1 0
"115" 162 1 -1 -1 1 1 0
"115" 163 2 1 1 -1 -1 0
"115" 164 1 1 1 1 1 0
"115" 165 2 -1 1 1 1 0
"115" 166 2 -1 1 -1 1 1
"115" 167 2 -1 -1 -1 1 1
"115" 168 2 1 1 -1 -1 1
"115" 169 1 -1 1 1 1 0
"115" 170 2 1 1 -1 1 0
"115" 171 1 -1 1 1 1 0
"115" 172 1 -1 -1 -1 1 1
"115" 173 1 -1 1 -1 -1 1
"115" 174 2 -1 1 -1 1 0
"115" 175 2 1 1 -1 1 1
"116" 11 1 1 1 -1 1 1
"116" 12 1 1 1 1 1 1
"116" 13 1 1 1 1 1 1
"116" 14 1 1 1 1 1 1
"116" 15 1 1 -1 1 1 1
"116" 16 1 1 1 1 -1 1
"116" 17 1 1 -1 1 1 1
